Stationsnummer: 2104
Stationsname: Weesen, Biäsche
DBLH-Nr: 00377
Gewässer: Linth
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 03:00:00;;418.472;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 04:00:00;;418.468;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 05:00:00;;418.465;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 06:00:00;;418.467;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 07:00:00;;418.463;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 08:00:00;;418.462;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 09:00:00;;418.458;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 10:00:00;;418.458;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 11:00:00;;418.454;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 12:00:00;;418.452;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 13:00:00;;418.452;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 14:00:00;;418.450;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 15:00:00;;418.449;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 16:00:00;;418.445;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 17:00:00;;418.442;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 18:00:00;;418.441;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 19:00:00;;418.437;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 20:00:00;;418.436;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 21:00:00;;418.431;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 22:00:00;;418.428;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-06 23:00:00;;418.427;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-07 00:00:00;;418.423;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-07 01:00:00;;418.421;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-07 02:00:00;;418.415;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-07 03:00:00;;418.415;Freigegeben, provisorische Daten
Weesen, Biäsche;2104;Pegel;Stundenmittel;m ü.M.;Linth;2019-01-07 04:00:00;;418.414;Freigegeben, provisorische Daten
