Stationsnummer: 2243
Stationsname: Baden, Limmatpromenade
DBLH-Nr: 00764
Gewässer: Limmat
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 17:00:00;;79.917;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 18:00:00;;79.743;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 19:00:00;;79.744;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 20:00:00;;79.745;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 21:00:00;;79.659;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 22:00:00;;79.497;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-05 23:00:00;;78.869;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 00:00:00;;78.505;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 01:00:00;;77.783;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 02:00:00;;77.454;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 03:00:00;;77.528;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 04:00:00;;77.624;Freigegeben, provisorische Daten
